"transaction_id","transaction_date","transaction_time","sales_outlet_id","staff_id","customer_id"
1,"2019-04-27","09:53:55",8,42,0
2,"2019-04-27","08:00:34",8,42,0
3,"2019-04-27","09:04:58",8,42,0
4,"2019-04-27","08:48:32",8,42,8231
5,"2019-04-27","09:21:40",8,45,8222
6,"2019-04-27","08:17:41",8,45,8334
7,"2019-04-27","08:50:42",8,42,8099
8,"2019-04-27","09:36:27",8,15,0
9,"2019-04-27","08:38:18",8,45,0
10,"2019-04-27","09:16:43",8,15,0
11,"2019-04-27","08:09:07",8,42,0
12,"2019-04-27","09:49:11",8,15,0
13,"2019-04-27","10:42:06",8,15,0
14,"2019-04-27","08:35:46",8,45,0
15,"2019-04-27","09:06:18",8,15,0
16,"2019-04-27","08:51:16",8,42,0
17,"2019-04-27","10:17:57",8,42,0
18,"2019-04-27","08:33:08",8,45,0
19,"2019-04-27","10:39:57",8,15,8428
20,"2019-04-27","10:07:20",8,15,8177
21,"2019-04-27","08:33:47",8,45,8054
22,"2019-04-27","09:30:23",8,45,0
23,"2019-04-27","10:09:02",8,15,0
24,"2019-04-27","10:13:05",8,15,0
25,"2019-04-27","09:28:28",8,15,0
26,"2019-04-27","10:24:12",8,42,8362
27,"2019-04-27","09:09:14",8,42,0
28,"2019-04-27","09:18:11",8,15,0
29,"2019-04-27","10:33:28",8,42,0
30,"2019-04-27","10:09:50",8,15,0
31,"2019-04-27","09:45:49",8,15,0
32,"2019-04-27","10:31:02",8,45,0
33,"2019-04-27","10:37:16",8,42,0
34,"2019-04-27","08:10:21",8,42,0
35,"2019-04-27","09:51:03",8,45,8444
36,"2019-04-27","09:23:04",8,42,0
37,"2019-04-27","10:37:55",8,45,0
38,"2019-04-27","10:29:22",8,45,0
39,"2019-04-27","08:51:33",8,42,0
40,"2019-04-27","10:10:40",8,15,0
41,"2019-04-27","10:01:11",8,45,0
42,"2019-04-27","10:31:06",8,42,0
43,"2019-04-27","09:29:47",8,15,0
44,"2019-04-27","09:48:02",8,45,8224
